"","time","android.sensor.accelerometer.mean","android.sensor.gyroscope.mean","sound.mean","target","android.sensor.game_rotation_vector.mean","android.sensor.gyroscope_uncalibrated.mean","android.sensor.linear_acceleration.mean","android.sensor.orientation.mean","android.sensor.rotation_vector.mean","speed.mean"
"1",78,9.811476292,0.001650775,0,"Still",0.0293404701347,0.0162213599906,0.0209778383629,354.286933099,0.050413140269,0
"2",145,9.939206783,0.036325714,89.20021019,"Car",0.999924605824,0.0390225389502,0.879220182554,332.695576665,0.999981228739,16.539349
"3",150,9.827177836,0.001524617,0,"Still",0.665215406868,0.016301566129,0.0341102311454,74.7526531434,0.610456220789,0
"4",105,9.673039113,0.036440315,87.4703771,"Car",0.996220934012,0.0507587448203,1.48836057989,373.556039427,0.998112317214,17.739895
"5",77,9.993466321,0.183202098,89.77073232,"Car",0.563791884308,0.265652184888,1.65830750209,193.201458416,0.322241915004,9
"6",559,9.330481711,0,57.36112724,"Car",0,0,0,0,0,0
"7",41,9.789771293,0.004099865,65.15836901,"Train",0.295890065254,0.0429908440802,0.027440833538,336.891506916,0.201198417294,0
"8",20,9.906011476,0.140902237,0,"Bus",0.700760401063,0.142145208906,1.00351975401,253.10237864,0.929186732937,7.79723926667
"9",35,9.639711442,0.041554064,89.80844083,"Bus",0.969449682672,0.06575401641,0.2789968597,131.29409779,0.780795203731,4.75
"10",27,9.602108563,0.037450782,89.81573848,"Train",0.896536138414,0.0304911474402,0.255171829308,151.073183017,0.968082050052,0
"11",234,9.864564603,0.131283457,70.57062121,"Still",0.783412281389,0.0671507338295,0.0717473330069,181.208649964,0.999972632859,0
"12",135,9.446526844,0.022525384,89.79213933,"Train",0.998855982941,0.0449085803462,0.411267162931,196.714199945,0.989397875246,0
"13",11,9.365727324,0.296977565,85.03130447,"Car",0.693535970167,0.334016276273,0.398539539639,349.534385901,0.5784314442,6.965024
"14",563,9.932077713,0.017878648,89.76378507,"Car",0.301756901377,0.0335059199659,0.534977245566,333.797871854,0.329745121496,9.5
"15",7,9.826201015,0.029334805,78.50624183,"Bus",0.414550152128,0.102843297578,1.36007825006,218.687147084,0.964534722062,2.6472714
"16",30,10.18086734,0.006378032,80.62089433,"Still",0.995052763627,0.0344540090415,0.0207045999672,238.466075036,0.98980001283,0
"17",32,9.709153021,0.251735071,84.4749283,"Still",0.779378917646,0.0762236447378,0.101048539571,70.728007837,0.582883063008,0.993526
"18",37,9.528491943,0.108372343,89.75435982,"Car",0.78051351925,0.209903330707,0.658520920209,236.331185897,0.903642052413,17.75
"19",20,10.09849406,1.936650541,0,"Walking",0.813853583331,2.25398694797,6.58922163101,178.274931843,0.998301852142,0
"20",224,10.19246377,0.088144367,69.34920219,"Still",0.99104098409,0.0713594500739,0.128744857367,216.872228665,0.997152009535,0
"21",159,9.899483559,1.834563396,89.79579577,"Walking",0.92180630983,1.58428616183,12.0929509884,299.537855747,0.761913388391,1.125
"22",238,9.764914019,0.027931444,0,"Car",0.997470062878,0.0428408517022,0.16862300451,37.9394123356,0.339335163889,33.875
"23",74,9.840979637,0.001668608,0,"Still",0.260766137364,0.0158787633077,0.016455381034,209.841434329,0.965331500196,0
"24",40,9.821241691,0.001690059,0,"Still",0.603619201242,0.0162168342277,0.0312812142905,124.568660805,0.885836770512,0
"25",28,9.730397471,0.270307147,84.13318985,"Still",0.723544070204,0.134245888624,0.127391459126,65.9505158639,0.538070381804,0.993526
"26",63,9.714569983,0.020230254,69.72577522,"Train",0.356096990157,0.107102746911,0.0441413249499,332.965803313,0.281466687121,0
"27",70,8.534806608,1.244050107,89.75972662,"Walking",0.983593331849,1.28561727893,5.79444833255,381.398462282,0.958244699255,1.5
"28",41,10.02564492,0.029667163,88.9821194,"Bus",0.900078903905,0.0512741258979,0.413857486891,291.07440888,0.977050842028,0
"29",75,9.764391072,0.076397984,57.65049076,"Still",0.656991572267,0.710826682388,0.0883767488902,206.428300222,0.991817330917,0.90623474
"30",19,10.41210505,0,72.39755612,"Walking",0,0,0,0,0,2.236068
"31",495,9.93558184,0.021603599,86.66733311,"Car",0.358190087876,0.0363643622809,0.350339793552,52.4067847449,0.458173725994,0
"32",517,10.07268573,0.248017646,89.76592281,"Walking",0.770167658119,0.350948892243,1.33954283341,274.793362466,0.953037823724,0
"33",46,9.681336618,0.049305781,82.26147787,"Car",0.939598303257,0.0429773887897,0.412780153343,103.003345861,0.777502068976,17.697832
"34",260,11.06894917,0.615398648,77.06422669,"Walking",0.943836368089,0.77845825456,1.72131441249,258.020318213,0.955201994901,1.19105
"35",604,9.69054913,0,49.30765703,"Car",0,0,0,0,0,0
"36",35,9.730385086,0.069720635,84.38232736,"Still",0.796485875641,0.0857593006413,0.180260256296,72.7122133045,0.595625362675,0
"37",70,9.807533518,0.081169262,85.89417316,"Bus",0.684223903423,0.0640364727612,0.243546100176,294.728594475,0.670535992226,9.091069
"38",25,9.395328146,0.244124974,89.77665269,"Bus",0.944918716951,0.198893363336,2.43762164896,299.995326521,0.976778155208,0
"39",69,9.668009965,1.429345767,89.68884415,"Walking",0.766797692292,1.54006499352,4.1463289829,190.481093705,0.953692188124,0.75
"40",156,9.857332935,0.161340102,76.33410367,"Car",0.632117417723,0.284680088576,0.626377087989,106.677629207,0.690474246812,13.20201
"41",52,9.774353262,0,72.582073,"Car",0,0,0,0,0,20.5
