time,android.sensor.accelerometer.mean,android.sensor.accelerometer.min,android.sensor.accelerometer.max,android.sensor.accelerometer.std,android.sensor.gyroscope.mean,android.sensor.gyroscope.min,android.sensor.gyroscope.max,android.sensor.gyroscope.std,sound.mean,sound.min,sound.max,sound.std,target,android.sensor.game_rotation_vector.mean,android.sensor.game_rotation_vector.min,android.sensor.game_rotation_vector.max,android.sensor.game_rotation_vector.std,android.sensor.gyroscope_uncalibrated.mean,android.sensor.gyroscope_uncalibrated.min,android.sensor.gyroscope_uncalibrated.max,android.sensor.gyroscope_uncalibrated.std,android.sensor.linear_acceleration.mean,android.sensor.linear_acceleration.min,android.sensor.linear_acceleration.max,android.sensor.linear_acceleration.std,android.sensor.orientation.mean,android.sensor.orientation.min,android.sensor.orientation.max,android.sensor.orientation.std,android.sensor.rotation_vector.mean,android.sensor.rotation_vector.min,android.sensor.rotation_vector.max,android.sensor.rotation_vector.std,speed.mean,speed.min,speed.max,speed.std
78,9.811476292,9.758895473,9.849410956,0.014625507,0.001650775,0,0.003533083,0.000736964,0,0,0,0,Still,0.02934047,0.029014182,0.029526427,0.000118701,0.01622136,0.014172422,0.018695316,0.000981865,0.020977838,0.002495366,0.052409582,0.011044687,354.2869331,353.5983347,354.942707,0.245676329,0.05041314,0.044777159,0.056351354,0.002109226,0,0,0,0
145,9.939206783,7.707437422,17.14663119,1.775944297,0.036325714,0.011669388,0.059387896,0.0202897,89.20021019,89.06514335,89.33527703,0.191013358,Car,0.999924606,0.999903335,0.999945877,3.01E-05,0.039022539,0.01413233,0.085493695,0.0186294,0.879220183,0.641116953,1.185809922,0.278729993,332.6955767,330.4610537,339.1086074,1.705816197,0.999981229,0.999963054,0.999999404,2.57E-05,16.539349,16.539349,16.539349,0.628594594
150,9.827177836,9.804817127,9.849262113,0.011199106,0.001524617,0,0.002609354,0.000712701,0,0,0,0,Still,0.665215407,0.665212601,0.665218213,3.97E-06,0.016301566,0.014644966,0.017373938,0.000875954,0.034110231,0.025709137,0.042511326,0.011880942,74.75265314,73.22349347,75.26857429,0.413704157,0.610456221,0.610456221,0.610456221,0.011312336,0,0,0,0
105,9.673039113,7.659673729,12.30429759,0.862553258,0.036440315,0.020463062,0.052512245,0.010552773,87.4703771,87.4703771,87.4703771,2.284186361,Car,0.996220934,0.993780916,0.998660952,0.003450706,0.050758745,0.024731578,0.081886899,0.018036503,1.48836058,0.575910313,2.415878964,0.920076869,373.5560394,359.8972497,397.0717413,8.870010567,0.998112317,0.998112317,0.998112317,0.002787518,17.739895,17.739895,17.739895,0.628594594
77,9.993466321,8.965620961,10.89164512,0.50411706,0.183202098,0.020666857,0.380875067,0.098819138,89.77073232,89.77073232,89.77073232,0.006389235,Car,0.563791884,0.521799104,0.672663745,0.064792132,0.265652185,0.141208499,0.313019733,0.083174815,1.658307502,0.379803006,2.79599532,1.12222546,193.2014584,35.86497159,360.5604677,181.7294547,0.322241915,0.308054844,0.378193174,0.025607852,9,9,9,0
559,9.330481711,9.149029238,9.520043907,0.103856563,0,0,0,0,57.36112724,57.36112724,57.36112724,1.006611253,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9.789771293,9.758750712,9.816196876,0.013488593,0.004099865,0.002731872,0.00657922,0.001801123,65.15836901,65.15836901,65.15836901,0,Train,0.295890065,0.295890065,0.295890065,4.22E-05,0.042990844,0.041700226,0.044151656,0.001017863,0.027440834,0.023156696,0.031900714,0.003641547,336.8915069,336.8915069,336.8915069,0.047299785,0.201198417,0.201079137,0.201317697,0.000168688,0,0,0,0
20,9.906011476,6.431645697,14.20260333,1.044684104,0.140902237,0.006566731,0.690413822,0.119666966,0,0,0,0,Bus,0.700760401,0.686746497,0.71833923,0.007095992,0.142145209,0.006821021,0.680812351,0.118567845,1.003519754,0.041030953,4.401256662,0.739564646,253.1023786,244.9885959,260.1286451,3.284710595,0.929186733,0.9140702,0.941615192,0.006542373,7.797239267,7.5873494,8.146695,0.304673347
35,9.639711442,8.996134055,10.02780194,0.255052885,0.041554064,0.008014424,0.123026208,0.030074237,89.80844083,89.80844083,89.80844083,0.010171437,Bus,0.969449683,0.965963394,0.972935971,0.004930357,0.065754016,0.039603879,0.116849852,0.029320958,0.27899686,0.157357566,0.374630842,0.084821277,131.2940978,129.6551219,132.6913295,1.36531982,0.780795204,0.774057911,0.786845053,0.005062004,4.75,4.75,4.75,0
27,9.602108563,9.014786483,10.06852813,0.267790552,0.037450782,0.00717439,0.084820304,0.021390824,89.81573848,89.81573848,89.81573848,0.004995081,Train,0.896536138,0.894286543,0.897685293,0.001528964,0.030491147,0.021024574,0.039108119,0.008139505,0.255171829,0.158721899,0.345489805,0.076332631,151.073183,150.4924193,151.4830711,0.421325572,0.96808205,0.967066421,0.968806414,0.000477109,0,0,0,0
