time,android.sensor.accelerometer.mean,android.sensor.accelerometer.min,android.sensor.accelerometer.max,android.sensor.accelerometer.std,android.sensor.gyroscope.mean,android.sensor.gyroscope.min,android.sensor.gyroscope.max,android.sensor.gyroscope.std,sound.mean,sound.min,sound.max,sound.std,target,android.sensor.game_rotation_vector.mean,android.sensor.game_rotation_vector.min,android.sensor.game_rotation_vector.max,android.sensor.game_rotation_vector.std,android.sensor.gyroscope_uncalibrated.mean,android.sensor.gyroscope_uncalibrated.min,android.sensor.gyroscope_uncalibrated.max,android.sensor.gyroscope_uncalibrated.std,android.sensor.linear_acceleration.mean,android.sensor.linear_acceleration.min,android.sensor.linear_acceleration.max,android.sensor.linear_acceleration.std,android.sensor.orientation.mean,android.sensor.orientation.min,android.sensor.orientation.max,android.sensor.orientation.std,android.sensor.rotation_vector.mean,android.sensor.rotation_vector.min,android.sensor.rotation_vector.max,android.sensor.rotation_vector.std,speed.mean,speed.min,speed.max,speed.std
0.110456554,0.242825557,0.799953468,0.018049163,0.00103578,0.000291545,0,0.000122418,0.000147958,0,0,0,0,Still,0.02934047,0.029014182,0.029526427,0.000365835,0.004198951,0.00374385,0.001732731,0.000244716,0.000907706,0.000107974,0.000778392,0.000949129,0.878056748,0.876350142,0.864497879,0.00100104,0.050413161,0.044777177,0.056351354,0.00479774,0,0,0,0
0.209131075,0.255524526,0.625774086,0.14367842,0.137799377,0.00641553,0.003609747,0.002057739,0.004073507,0.98772518,0.986229568,0.989220792,0.007117923,Car,0.999924608,0.999903337,0.999945877,9.27E-05,0.010101108,0.003733259,0.007923782,0.00464311,0.038043624,0.027740961,0.017611756,0.023952769,0.824545217,0.819007226,0.825932372,0.006950571,0.999981636,0.99996346,0.999999404,5.85E-05,0.322027447,0.322027447,0.322027447,0.163577197
0.216494845,0.244386605,0.803852453,0.018046601,0.000769726,0.000269265,0,9.04E-05,0.000143087,0,0,0,0,Still,0.665215408,0.665212602,0.665218213,1.22E-05,0.004219712,0.003868679,0.001610263,0.000218319,0.001475941,0.001112428,0.000631382,0.001020993,0.18526529,0.181475456,0.183324017,0.001685692,0.610456469,0.610456469,0.610456221,0.025731545,0,0,0,0
0.150220913,0.229062129,0.621718702,0.060312597,0.066876019,0.00643577,0.006329935,0.001819504,0.002118651,0.96857052,0.96857052,0.96857052,0.08511794,Car,0.996220936,0.993780918,0.998660952,0.010635029,0.013139062,0.006533204,0.007589495,0.004495339,0.064400968,0.024919487,0.035880853,0.079067159,0.925812867,0.891961231,0.967107287,0.036142019,0.998112723,0.998112723,0.998112317,0.006340612,0.345402537,0.345402537,0.345402537,0.163577197
0.1089838,0.260919011,0.732600366,0.035992311,0.039044019,0.032355553,0.006392976,0.01319699,0.019839647,0.994042644,0.994042644,0.994042644,0.000238089,Car,0.563791885,0.521799105,0.672663745,0.199688455,0.068764911,0.037302267,0.029011498,0.020730125,0.071754526,0.016433975,0.041526375,0.096438875,0.478826139,0.088886937,0.878180488,0.740480446,0.322242046,0.308054969,0.378193174,0.058248766,0.17523344,0.17523344,0.17523344,0
0.818851252,0.195005063,0.748172675,0.012378766,0.00796443,0,0,0,0,0.635166998,0.635166998,0.635166998,0.03751037,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055964654,0.240667646,0.799941177,0.017477348,0.000947501,0.000724082,0.000845063,0.000227964,0.000361607,0.72150684,0.72150684,0.72150684,0,Train,0.295890066,0.295890066,0.295890065,0.000130186,0.011128316,0.011015718,0.004092092,0.000253688,0.001187358,0.001001984,0.000473792,0.000312938,0.834944316,0.834944316,0.820532406,0.000192729,0.201198499,0.201079219,0.201317697,0.000383705,0,0,0,0
0.025036819,0.252224248,0.517452781,0.09299391,0.081018188,0.024884921,0.002031318,0.02392224,0.024025208,0,0,0,0,Bus,0.700760402,0.686746499,0.71833923,0.021869751,0.036794739,0.001801871,0.063099493,0.029551328,0.043422034,0.001775398,0.065367861,0.063554771,0.62728323,0.607174213,0.633568905,0.013383983,0.929187111,0.914070572,0.941615192,0.014881575,0.151815229,0.147728593,0.158619266,0.079284188
0.04712813,0.225748691,0.735191085,0.02112035,0.019704583,0.007338915,0.00247914,0.004262751,0.006037922,0.994460195,0.994460195,0.994460195,0.000379029,Bus,0.969449685,0.965963396,0.972935971,0.015195292,0.017020636,0.010461937,0.010829954,0.007307827,0.01207212,0.00680882,0.005564051,0.007289149,0.325396332,0.321334331,0.323182786,0.005563174,0.780795521,0.774058226,0.786845053,0.011514262,0.092484316,0.092484316,0.092484316,0
0.035346097,0.222010212,0.736774772,0.021821494,0.020693643,0.00661423,0.002219288,0.00293895,0.004294577,0.994541003,0.994541003,0.994541003,0.000186137,Train,0.89653614,0.894286545,0.897685293,0.004712247,0.00789273,0.005553945,0.003624644,0.002028654,0.011041217,0.006867855,0.005131246,0.006559674,0.374416371,0.372977019,0.368951921,0.001716746,0.968082444,0.967066814,0.968806414,0.001085253,0,0,0,0
0.340206186,0.248103598,0.782613066,0.026552768,0.008772335,0.023186136,0.04061053,0.004548858,0.000668712,0.781437391,0.781437391,0.781437391,0.297175936,Still,0.783412283,0.779935422,0.795632958,0.017162891,0.017382181,0.017738837,0.006223708,0.289570897,0.003104488,0.003104488,0.001065598,0.024907009,0.449103433,0.447213545,0.445270566,0.004009402,0.99997304,0.999953108,0.999997206,5.14E-05,0,0,0,0
0.194403535,0.206542273,0.727117793,0.020871797,0.024549315,0.003978236,0.001658567,0.002028316,0.002632782,0.994279686,0.994279686,0.994279686,0.001395372,Train,0.998855985,0.99877152,0.999039573,0.000254292,0.011624729,0.007613201,0.006692176,0.004301532,0.017795421,0.007825402,0.016732535,0.030406463,0.487532039,0.487380765,0.479256936,0.000212901,0.989398278,0.989046204,0.990213199,0.000992357,0,0,0,0
0.011782032,0.198509183,0.290506898,0.084768196,0.19467547,0.052449581,0.015321946,0.026705191,0.046574133,0.941562361,0.941562361,0.941562361,0.26217921,Car,0.693535972,0.693535972,0.69353597,0.010134586,0.086461174,0.015229705,0.073306021,0.056519911,0.0172447,0.0172447,0.005919145,0,0.866278143,0.858919991,0.856746685,0.007119476,0.57843168,0.57843168,0.578431444,0.022072027,0.13561168,0.13561168,0.13561168,0.053194004
0.824742268,0.254815754,0.787150346,0.02415777,0.011234594,0.00315757,0.001433426,0.002006272,0.002452498,0.993965716,0.993353156,0.994578276,0.002915297,Car,0.301756902,0.299379876,0.303967945,0.006013893,0.008673114,0.008240323,0.003390265,0.000585786,0.023148324,0.009755945,0.010781469,0.02324337,0.827277121,0.815392533,0.825476179,0.020240753,0.329745256,0.305658652,0.372181427,0.053131763,0.184968631,0.184968631,0.184968631,0
0.005891016,0.244289489,0.694943675,0.044132548,0.030125818,0.005180857,0.008700456,0.001058298,0.000343114,0.86930952,0.86930952,0.86930952,0.027120426,Bus,0.414550153,0.397585804,0.431514501,0.073940586,0.026621314,0.027167544,0.009531789,0.011704316,0.058850225,0.058850225,0.020200005,0.041250999,0.541989296,0.541989296,0.532634059,0,0.964535114,0.964535114,0.964534722,0.037092164,0.051543386,0.051543386,0.051543386,0.120617341
0.039764359,0.279550425,0.834050288,0.024056957,0.00095469,0.001126432,0.000770312,0.000428086,0.000508313,0.892725333,0.892725333,0.892725333,0,Still,0.995052766,0.995039058,0.995078823,4.46E-05,0.00891853,0.007727232,0.003635221,0.000815029,0.000895883,0.000385847,0.000434607,0.000748459,0.591008945,0.590975716,0.580840239,7.73E-05,0.989800415,0.989766684,0.989846314,6.94E-05,0,0,0,0
0.042709867,0.232652575,0.751140416,0.030506928,0.023052732,0.044459247,0.076170135,0.008912851,0.00156061,0.935401538,0.934781013,0.936022062,0.002953202,Still,0.779378919,0.763048697,0.796032409,0.025374863,0.019730732,0.010742854,0.010360066,0.012532631,0.004372344,0.001396353,0.002522274,0.008358616,0.1752907,0.164939718,0.179299315,0.009007231,0.5828833,0.578187629,0.587578732,0.015105184,0.019344331,0.019344331,0.019344331,0
0.050073638,0.214691246,0.739930308,0.020418142,0.024147693,0.019139776,0.00297226,0.033248908,0.038075893,0.993861349,0.993861349,0.993861349,0.000958129,Car,0.780513521,0.773229191,0.785057156,0.016873671,0.054334144,0.009397846,0.070581484,0.057267881,0.028494026,0.00972685,0.015321054,0.034958294,0.585717884,0.580592639,0.582482173,0.007539293,0.90364242,0.897455455,0.908650254,0.011069401,0.345599285,0.345599285,0.345599285,0
