time,android.sensor.accelerometer.mean,android.sensor.gyroscope.mean,sound.mean,target,android.sensor.game_rotation_vector.mean,android.sensor.gyroscope_uncalibrated.mean,android.sensor.linear_acceleration.mean,android.sensor.orientation.mean,android.sensor.rotation_vector.mean,speed.mean
0.110456554,0.242825557,0.000291545,0,Still,0.02934047,0.004198951,0.000907706,0.878056748,0.050413161,0
0.209131075,0.255524526,0.00641553,0.98772518,Car,0.999924608,0.010101108,0.038043624,0.824545217,0.999981636,0.322027447
0.216494845,0.244386605,0.000269265,0,Still,0.665215408,0.004219712,0.001475941,0.18526529,0.610456469,0
0.150220913,0.229062129,0.00643577,0.96857052,Car,0.996220936,0.013139062,0.064400968,0.925812867,0.998112723,0.345402537
0.1089838,0.260919011,0.032355553,0.994042644,Car,0.563791885,0.068764911,0.071754526,0.478826139,0.322242046,0.17523344
0.818851252,0.195005063,0,0.635166998,Car,0,0,0,0,0,0
0.055964654,0.240667646,0.000724082,0.72150684,Train,0.295890066,0.011128316,0.001187358,0.834944316,0.201198499,0
0.025036819,0.252224248,0.024884921,0,Bus,0.700760402,0.036794739,0.043422034,0.62728323,0.929187111,0.151815229
0.04712813,0.225748691,0.007338915,0.994460195,Bus,0.969449685,0.017020636,0.01207212,0.325396332,0.780795521,0.092484316
0.035346097,0.222010212,0.00661423,0.994541003,Train,0.89653614,0.00789273,0.011041217,0.374416371,0.968082444,0
0.340206186,0.248103598,0.023186136,0.781437391,Still,0.783412283,0.017382181,0.003104488,0.449103433,0.99997304,0
0.194403535,0.206542273,0.003978236,0.994279686,Train,0.998855985,0.011624729,0.017795421,0.487532039,0.989398278,0
0.011782032,0.198509183,0.052449581,0.941562361,Car,0.693535972,0.086461174,0.0172447,0.866278143,0.57843168,0.13561168
0.824742268,0.254815754,0.00315757,0.993965716,Car,0.301756902,0.008673114,0.023148324,0.827277121,0.329745256,0.184968631
0.005891016,0.244289489,0.005180857,0.86930952,Bus,0.414550153,0.026621314,0.058850225,0.541989296,0.964535114,0.051543386
0.039764359,0.279550425,0.001126432,0.892725333,Still,0.995052766,0.00891853,0.000895883,0.591008945,0.989800415,0
0.042709867,0.232652575,0.044459247,0.935401538,Still,0.779378919,0.019730732,0.004372344,0.1752907,0.5828833,0.019344331
0.050073638,0.214691246,0.019139776,0.993861349,Car,0.780513521,0.054334144,0.028494026,0.585717884,0.90364242,0.345599285
0.025036819,0.271360871,0.342034284,0,Walking,0.813853585,0.583451678,0.285113873,0.441832572,0.998302258,0
0.325478645,0.280703342,0.015567287,0.767912464,Still,0.991040986,0.01847162,0.005570756,0.537491243,0.997152415,0
0.229749632,0.251575242,0.324004545,0.994320174,Walking,0.921806312,0.410097503,0.523258784,0.742367869,0.761913698,0.02190418
0.346097202,0.238196335,0.004933007,0,Car,0.997470065,0.01108949,0.007296273,0.094028184,0.339335302,0.659559198
0.104565538,0.24575878,0.000294695,0,Still,0.260766138,0.004110268,0.00071202,0.52006628,0.965331893,0
0.0544919,0.243796433,0.000298483,0,Still,0.603619202,0.004197779,0.00135353,0.308728161,0.885837131,0
0.036818851,0.234764699,0.047739285,0.931617425,Still,0.723544072,0.034749974,0.005512195,0.163450272,0.538070601,0.019344331
0.088365243,0.233191129,0.003572891,0.772082305,Train,0.356096991,0.027723886,0.001909983,0.825214941,0.281466802,0
0.098674521,0.115899023,0.219713252,0.993920776,Walking,0.983593334,0.332786114,0.250724244,0.945249351,0.958245089,0.029205573
0.055964654,0.264118208,0.005239555,0.985310233,Bus,0.900078906,0.01327247,0.017907504,0.721392253,0.977051239,0
0.106038292,0.238144343,0.013492744,0.638371157,Still,0.656991574,0.183999744,0.003824039,0.511607246,0.991817734,0.017644737
0.023564065,0.302540084,0,0.801667272,Walking,0,0,0,0,0,0.043537099
0.724594993,0.255164134,0.003815439,0.959678313,Car,0.358190089,0.009413031,0.01515911,0.129883794,0.458173912,0
0.756995582,0.268795006,0.043802708,0.993989387,Walking,0.77016766,0.090844235,0.057961663,0.681041675,0.953038211,0
0.063328424,0.229887067,0.008707956,0.910891722,Car,0.939598305,0.011124834,0.017860888,0.25528117,0.777502385,0.344583554
0.378497791,0.367843544,0.108686328,0.853341904,Walking,0.94383637,0.201506391,0.074480818,0.63947174,0.955202383,0.023190199
0.885125184,0.230802975,0,0.545989907,Car,0,0,0,0,0,0
0.04712813,0.234763467,0.012313449,0.934376156,Still,0.796485877,0.022199067,0.007799814,0.18020831,0.595625605,0
0.098674521,0.242433566,0.014335405,0.951117015,Bus,0.684223905,0.016576044,0.010538175,0.730448705,0.670536265,0.177006588
0.032400589,0.201452097,0.043115218,0.994108201,Bus,0.944918719,0.051484179,0.105475243,0.743501655,0.976778553,0
0.097201767,0.228562131,0.252438551,0.993135886,Walking,0.766797694,0.398650713,0.179410556,0.472084049,0.953692576,0.014602787
0.22533137,0.247384626,0.028494478,0.84525716,Car,0.632117419,0.073690345,0.027103171,0.264387431,0.690474528,0.257048181
0.072164948,0.239134784,0,0.803710451,Car,0,0,0,0,0,0.399142836
0.1089838,0.266801602,0,0.845739999,Car,0,0,0,0,0,0.116822293
0.391752577,0.246085025,0.009966025,0.917681526,Still,0.486840841,0.011400891,0.003969203,0.225909559,0.701652594,0
