time,android.sensor.accelerometer.mean,android.sensor.accelerometer.min,android.sensor.accelerometer.max,android.sensor.accelerometer.std,android.sensor.gyroscope.mean,android.sensor.gyroscope.min,android.sensor.gyroscope.max,android.sensor.gyroscope.std,sound.mean,sound.min,sound.max,sound.std,target,android.sensor.game_rotation_vector.mean,android.sensor.game_rotation_vector.min,android.sensor.game_rotation_vector.max,android.sensor.game_rotation_vector.std,android.sensor.gyroscope_uncalibrated.mean,android.sensor.gyroscope_uncalibrated.min,android.sensor.gyroscope_uncalibrated.max,android.sensor.gyroscope_uncalibrated.std,android.sensor.linear_acceleration.mean,android.sensor.linear_acceleration.min,android.sensor.linear_acceleration.max,android.sensor.linear_acceleration.std,android.sensor.orientation.mean,android.sensor.orientation.min,android.sensor.orientation.max,android.sensor.orientation.std,android.sensor.rotation_vector.mean,android.sensor.rotation_vector.min,android.sensor.rotation_vector.max,android.sensor.rotation_vector.std,speed.mean,speed.min,speed.max,speed.std
-0.314148901,-0.299566168,0.747407811,-0.463128334,-0.643166647,-0.514933377,-0.401801461,-0.496182289,-0.50711283,-2.03652947,-2.029892496,-2.0407353,-0.459231763,Still,-1.794251736,-1.7638626,-1.807220831,-0.404117781,-0.496955564,-0.422886425,-0.485923376,-0.489714576,-0.589296296,-0.54396441,-0.394462411,-0.489930408,1.469151998,1.562580853,1.295256052,-0.367643187,-1.766591086,-1.745831255,-1.768569504,-0.336969506,-0.49074034,-0.48997554,-0.491428562,-0.224633279
0.215603616,-0.104839989,-0.403153021,0.946026998,0.52666698,-0.449457501,-0.342117308,-0.452993753,-0.447356783,0.739178093,0.742199781,0.735312244,-0.392710197,Car,0.983246055,1.02525048,0.943857454,-0.407647837,-0.452375136,-0.423066315,-0.422636691,-0.431971674,-0.162379131,-0.103251613,-0.162128418,-0.246266993,1.270386405,1.35057132,1.157762096,-0.319458172,0.931185372,0.9714422,0.891726822,-0.412789691,1.15927117,1.161175084,1.157238515,2.43972528
0.255137386,-0.275629036,0.773162984,-0.463157077,-0.645442396,-0.515171598,-0.401801461,-0.496896543,-0.507186981,-2.03652947,-2.029892496,-2.0407353,-0.459231763,Still,0.025416613,0.063770685,-0.005074483,-0.408688045,-0.496798747,-0.420766153,-0.487175288,-0.490061117,-0.582763824,-0.527944586,-0.396491439,-0.489169198,-1.104183183,-1.006525653,-1.133268711,-0.362098223,-0.17547713,-0.136610781,-0.206458353,-0.002064848,-0.49074034,-0.48997554,-0.491428562,-0.224633279
-0.100666543,-0.510614782,-0.429941302,0.010931168,-0.079989554,-0.449241102,-0.297141258,-0.458310203,-0.477114269,0.685349624,0.692563762,0.677361443,0.336250051,Car,0.972647344,1.007662357,0.940214772,-0.271390483,-0.429428731,-0.375508173,-0.426053872,-0.433911637,0.140626766,-0.14825072,0.090021543,0.337525865,1.646539434,1.620298527,1.661079669,-0.083037797,0.925875689,0.966177301,0.88640682,-0.312286222,1.279040982,1.281027582,1.276910738,2.43972528
-0.322055655,-0.022120879,0.302499575,-0.261864047,-0.318055894,-0.17211426,-0.29609893,-0.204410693,-0.207359228,0.756931444,0.76416076,0.748843792,-0.457006673,Car,-0.264824696,-0.348219148,0.016033133,2.17208748,-0.009273192,0.147116269,-0.207072045,-0.220778469,0.225163796,-0.283584385,0.16794101,0.521533784,-0.013767804,-1.348846031,1.344037363,5.621371174,-0.994310216,-0.996869751,-0.86124541,0.518154432,0.40712472,0.408509377,0.405704916,-0.224633279
3.488999768,-1.032846347,0.405364159,-0.526731915,-0.583901118,-0.518050497,-0.401801461,-0.49891417,-0.509365101,-0.251581717,-0.244566252,-0.258267929,-0.108673263,Car,-1.87821467,-1.84721283,-1.890926401,-0.408846121,-0.528671257,-0.48647717,-0.503635851,-0.492927246,-0.599731343,-0.545686463,-0.405205771,-0.499983953,-1.792340758,-1.677480838,-1.786856495,-0.375750573,-1.909817659,-1.873211472,-1.927433075,-0.413725047,-0.49074034,-0.48997554,-0.491428562,-0.224633279
-0.606698798,-0.332655617,0.747326622,-0.469542256,-0.643921763,-0.510308818,-0.387829052,-0.493826929,-0.503860603,-0.008949296,-0.001882382,-0.015972672,-0.459231763,Train,-1.03147303,-0.997197307,-1.052096621,-0.407163493,-0.444616382,-0.299370942,-0.461805315,-0.489596789,-0.586081396,-0.529706025,-0.398666492,-0.496669196,1.309013277,1.409494293,1.138510106,-0.374189667,-1.338201616,-1.301189832,-1.359885958,-0.407586438,-0.49074034,-0.48997554,-0.491428562,-0.224633279
-0.772740632,-0.155446506,-1.118681173,0.377510162,0.040978206,-0.251988098,-0.368215314,0.03493351,-0.143645188,-2.03652947,-2.029892496,-2.0407353,-0.459231763,Bus,0.127134887,0.125631992,0.14552027,-0.126183938,-0.250751666,-0.45587169,0.14138515,-0.104972142,-0.100548552,-0.517371,0.497001064,0.173212682,0.537667767,0.567377484,0.471946814,-0.267354225,0.730054219,0.727097751,0.727132296,-0.175645594,0.28713396,0.267482126,0.320646196,1.066753965
-0.654139322,-0.561423089,0.319612853,-0.428679517,-0.483479467,-0.43958493,-0.360810956,-0.403786793,-0.417453793,0.758104847,0.765334412,0.750015564,-0.455689498,Bus,0.896036684,0.927749821,0.867286066,-0.212449997,-0.400110263,-0.308777117,-0.392928974,-0.396988794,-0.460949391,-0.437093997,-0.32841077,-0.422774477,-0.583674254,-0.489436234,-0.634643466,-0.330694645,0.308465521,0.328796563,0.290810265,-0.229516784,-0.016867114,-0.015775167,-0.017941449,-0.224633279
-0.717393354,-0.618748986,0.330074072,-0.420814943,-0.475019356,-0.447333061,-0.365107387,-0.433328689,-0.443991585,0.758331933,0.765561546,0.750242335,-0.457492195,Train,0.68738171,0.721840793,0.65395511,-0.34794127,-0.469055549,-0.392141263,-0.466583706,-0.466294708,-0.472800722,-0.43615247,-0.334384347,-0.430501358,-0.401592057,-0.298501712,-0.471467095,-0.361846714,0.840558007,0.877859214,0.803788743,-0.396362871,-0.49074034,-0.48997554,-0.491428562,-0.224633279
